Number	Reference	Size	Mode	LowAlt	HighAlt	DiffAlt	BVO2	BVO2SD	AVO2	AVO2SD	Altitude	Swithin	ES	d	Vd_Independent	Vd_Corr	J	G	Vg_Independent	Vg_Corr
69	"Ponsot, 2009"	8	cycle	?	3000	3000	56.2	7.636753237	51.9	5.929280658	3	6.836533081	-4.3	-0.628973772	0.26236275	0.07486275	0.888888889	-0.559087797	0.207298963	0.059150815
59	"Prommer, 2007"	15	cycle	0	3550	3550	49.7	6.5	42.5	4.5	3.6	5.590169944	-7.2	-1.287975155	0.160981333	0.060981333	0.945454545	-1.217721965	0.143898686	0.054510256
21	"Reeves, 1967"	5	treadmill	300	3110	2810	62.6	2.431610942	50.3	5.623100304	3.1	4.3319735	-12.3	-2.839352549	0.803096145	0.503096145	0.8	-2.271482039	0.513981533	0.321981533
41	"Robergs, 1998"	14	cycle	0	915	915	55.8	8.620689655	53.45	7.824933687	0.9	8.232432123	-2.35	-0.285456347	0.144312238	0.037169381	0.941176471	-0.268664797	0.127833678	0.032925126
41	"Robergs, 1998"	14	cycle	0	915	915	47.3	4.802744425	46.14	4.288164666	0.9	4.552730511	-1.16	-0.254792151	0.144016411	0.036873554	0.941176471	-0.239804377	0.127571631	0.032663079
80	"Roberts, 1998 abstract"	9	skiing	0	1800	1800	70.2	4	61.7	2.9	1.8	3.493565514	-8.5	-2.433044397	0.386658473	0.219991807	0.903225806	-2.197588488	0.315442501	0.179473024
28	"Robertson, 1982"	5	treadmill	360	3566	3206	48.25	7.4	38.53	6.911764706	3.6	7.160045089	-9.72	-1.357533351	0.49214484	0.19214484	0.8	-1.086026681	0.314972698	0.122972698
34	"Roca, 1992"	12	cycle	0	2660	2660	36.9	5.9	33.1	4.5	2.7	5.246903849	-3.8	-0.724236637	0.17759414	0.05259414	0.930232558	-0.6737085	0.153678001	0.045511424
18	"Shepard, 1988"	8	cycle	0	4400	4400	49.1	7.1	35.8	4.9	4.4	6.1	-13.3	-2.180327869	0.398557176	0.211057176	0.888888889	-1.938069217	0.314909373	0.166761225
18	"Shepard, 1988"	8	cycle	0	4400	4400	40.9	10.3	28.7	6.2	4.4	8.500882307	-12.2	-1.435145148	0.3143638	0.1268638	0.888888889	-1.275684576	0.248386212	0.100238064
44	"Springer, 1991"	10	cycle	0	2660	2660	40.7	8.6	37.7	8.3	2.7	8.451331256	-3	-0.354973661	0.203150158	0.053150158	0.914285714	-0.324547347	0.169816948	0.044429193
44	"Springer, 1991"	10	cycle	0	2660	2660	45.2	6.7	40.1	5.3	2.7	6.040695324	-5.1	-0.844273668	0.217819951	0.067819951	0.914285714	-0.771907354	0.182079698	0.056691942
